REP,INSTN,TREAT,x1,x2,x3,x4,x5,x6,x7,x8,Pwev,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68
1,269,NI,10,10,10,5,7,5,5,1,5,5,7,7,0,0,3,1,2.6,75,54,38,-28.81481481,-0.882175227,8.708,8.74,7.264,9.744,-5.140070618,0.006618436,27.4,31.2,32.8,33.4,19.60657436,0.091227326,52.72,45.84,33.84,37.16,-35.95779478,-0.273830487,7,40,4.50569,0.64367,55.02,26.848,43.58,3.87,4.6,1.168,502.538,82.0973751,5.4,605.738,113.9833751,48.79680116,8.880220285,25.39130435,16.33655069,89.25379051,79.01196109,0.11264225,23.83962963,16.68774074,0,0.46629576,266,11
1,143,NI,10,10,10,5,7,5,9,1,3,5,5,7,2.8,1,3,3,1,78,61,49,-20.73350147,-0.6918429,9.566,8.598,8.344,10.686,-3.717323168,0.01320611,43.7,55.8,57.2,56,29.49844706,0.180386125,40.82,41.24,30.9,31,-23.93596264,-0.183579081,10,66,5.095,0.5095,41.08,27.21,10.14,7.266,3.388,2.092,553.4,96.77694696,7.8,608.008,133.344947,66.23661149,71.65680473,61.74734357,17.48770274,90.15622017,70.86404168,0.07719697,18.87037037,18.87037037,0,0.5962484,107,12
1,122,NI,10,10,10,5,7,7,9,1,5,7,7,9,1,1.25,3,3,2.4,75,40,35,-29.58333333,-0.962990937,8.204,9.132,9.904,9.666,18.96432106,0.024135568,40,51.6,47.6,56.4,27.410527,0.208380185,44.58,40.14,30.2,35.525,-28.84546806,-0.174372017,8,60,6.966,0.87075,34.74,24.35,18.88,7.114,6.344,4.384,942.2,183.3078991,7.8,1002.164,219.1558991,70.09211284,37.68008475,69.10466583,19.45530664,93.91764177,82.60649061,0.1161,32.25,25.8,0,1.114565999,269,13
1,174,NI,10,10,10,7,7,7,7,1,3,7,5,9,2,0,1,3,3.2,83,59,47,-24.62732285,-0.86102719,7.808,8.426,6.882,11.546,12.18105677,0.04305357,36.4,56,58.2,56.4,56.74379744,0.292882147,49.6,42.72,37.86,43.06,-20.66910141,-0.116715816,9,184,7.63,0.847777778,85.4,31.754,38.84,8.774,7.688,5.678,941.4,158.028988,19.4,1073.328,204.234988,37.18266979,22.59011329,73.855359,16.78659316,89.15018638,76.0782868,0.041467391,31.39917695,28.25925926,0,1.337174007,138,14
1,84,NI,10,10,10,5,9,5,7,1,3,5,5,7,2.8,1.666666667,3,3,3,79,51,46,-22.62347977,-0.793806647,11.012,10.198,10.75,12.216,2.566626409,0.018454227,50.4,65,61,67.2,26.20238596,0.215678371,49.58,43.8,33.6,31.16,-37.36623274,-0.302685902,10,112,8.065,0.8065,128.16,41.538,97.46,13.622,12.08,6.39,1007.2,196.746409,11.8,1244.9,258.296409,32.41104869,13.97701621,52.89735099,19.53399612,82.94493584,76.90865782,0.072008929,29.87037037,29.87037037,0,1.493989666,51,15
1,171,NI,10,10,10,7,7,7,9,1,7,9,9,9,3.2,3,3,3,3.2,55,35,24,-33.8961039,-0.740936556,8.536,7.8,5.722,7.826,-23.0065445,-0.020393763,44.9,50,50.2,47.2,9.766542738,0.035228599,49.84,44.42,13.46666667,0,-113.8914585,-0.829214667,9,178,4.465,0.496111111,27.86,18.622,15.3,10.986,5.638,2.65,541.2,100.9797709,21,589.998,133.2377709,66.84134961,71.80392157,47.00248315,18.65849425,90.94020204,72.71552869,0.02508427,18.3744856,16.53703704,0,0.457911738,135,16
1,107,NI,9,9,9,5,9,5,7,1,7,9,9,9,1,0,3,1,1.6,70,27,26,-32.56613757,-1.062688822,9.22,8.034,7.014,5.972,-30.51138315,-0.049597115,30.5,37.4,37.4,39,24.04897578,0.118903151,47.46,38.66,15.54,0,-111.6786778,-0.760248223,8,95,3.856,0.482,19.78,15.234,13.92,9.712,2.2,0.854,489.8,39.29890126,11,525.7,65.09890126,77.01718908,69.77011494,38.81818182,8.023458812,90.60387019,67.11641854,0.040589474,17.85185185,14.28148148,0,0.341517451,72,17
1,61,NI,10,10,10,5,7,7,7,1,5,7,5,7,2.4,0,3,3,3,80,53,36,-32.91273585,-1.05060423,10.354,9.6,8.048,7.692,-24.92336286,-0.044079983,35.7,45.6,46.4,49.8,31.92800714,0.20024398,52.08,49.74,40.25,38.9,-24.69031188,-0.226363636,9,128,6.243,0.693666667,42.08,18.41,45.84,7.736,11.8,4.478,659.4,113.2995674,12.6,759.12,143.9235674,43.75,16.87609075,37.94915254,17.18222132,86.40508582,78.61652893,0.048773438,25.69135802,23.12222222,0,0.895211226,240,18
2,222,NI,10,10,10,7,9,7,9,1,7,7,7,9,4,3.75,1,3,2.2,80,48,40,-28.33333333,-0.960725076,11.46,10.84,8.968,8.806666667,-23.27915786,-0.045473357,44,47.4,48.2,51.8,11.904663,0.11123369,51.42,47.22,33.36666667,23.44,-47.42262911,-0.448686397,10,149,16.0556,1.60556,80.24,27.634,59.04,17.376,19.136,9.242,541.2,74.80947629,13,699.616,129.0614763,34.43918245,29.43089431,48.29640468,13.82288919,78.66700556,63.37652917,0.107755705,59.46518519,59.46518519,0,5.920957308,186,18
2,19,NI,7,7,10,5,7,3,5,1,1,3,5,5,1.6,0,1,3,1.6,85,72,51,-22.23039216,-0.805891239,9.926,11.58,10.276,11.276,8.646318343,0.012738517,26.5,49.8,46.8,59,90.58989061,0.437710831,50.1,47.76,33.65,38.5,-29.40985118,-0.228111807,10,99,8.336,0.8336,148.6,36.814,174.52,16.906,11.286,6.534,1058.8,204.9579614,12.4,1393.206,265.2119614,24.77388964,9.687141875,57.89473684,19.35757097,75.33646572,75.91813676,0.08420202,30.87407407,30.87407407,0,1.596078553,15,17
